id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url,duracao,Mean_l,Q0.05,Q0.1,Q0.15,Q0.2,Q0.25,Q0.3,Q0.35,Q0.4,Q0.45,Q0.5,Q0.55,Q0.6,Q0.65,Q0.7,Q0.75,Q0.8,Q0.85,Q0.9,Q0.95,Mediana_r,Mean_r
puVeHZI1JaM,MINECRAFT! o ovo do dragão XD,2014-02-14T19:01:00Z,Eu sou muito burro!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,311,9,0,1,https://www.youtube.com/watch?v=puVeHZI1JaM,311.18,-0.01554439388486126,-2772,-1572,-969,-687,-496,-403,-251,-180,-106,27,76,171,291,365,536,722,1015,1589,2756,NA,NA
AdABr8uNKJQ,MINECRAFT A mansão!,2014-02-15T17:47:15Z,"Eu não vi parar de gravar, eu fiquei falando que nem retardado.",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,74,6,0,0,https://www.youtube.com/watch?v=AdABr8uNKJQ,326.23,0.08003212948658214,-2635,-1520,-967,-693,-511,-406,-264,-181,-107,24,80,180,294,374,539,724,1009,1551,2635,NA,NA
gDe24qF92CI,GTA IV! participação especial!,2014-02-19T00:49:22Z,O mata tudo.,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,52,3,0,0,https://www.youtube.com/watch?v=gDe24qF92CI,303.65,0.02949392333667053,-3534,-2156,-1402,-911,-595,-404,-229,-176,-76,30,63,124,273,360,572,905,1419,2198,3567,NA,NA
T1iU05bZ5RQ,HAPPY WHEELS! dinossauros,2014-02-21T23:16:43Z,Muito noob!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,147,5,0,NA,https://www.youtube.com/watch?v=T1iU05bZ5RQ,570.48,0.007252116638620109,-3641,-2182,-1427,-985,-702,-498,-376,-210,-134,18,86,229,330,511,696,979,1410,2191,3726,NA,NA
hBL0yVT9y7k,Saint Row! a prova de meus poderes,2014-02-25T01:31:24Z,O super poderoso!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,30,3,0,0,https://www.youtube.com/watch?v=hBL0yVT9y7k,395.3,-0.004124093946262454,-3224,-1907,-1185,-762,-512,-389,-231,-174,-88,26,69,142,276,351,537,785,1223,1954,3227,NA,NA
LX7LNA1zNEg,Minecraft! Meu mundo,2014-03-01T18:38:21Z,Muitas construções!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,42,4,0,1,https://www.youtube.com/watch?v=LX7LNA1zNEg,303.98,0.014917040589855607,-3090,-1894,-1188,-754,-503,-391,-230,-176,-76,26,67,152,277,349,535,779,1203,1871,3058,NA,NA
KcM3qs85L58,Minecraft! Meu mundo Ep 2,2014-03-04T15:41:58Z,Muitas trolagens!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,35,4,0,0,https://www.youtube.com/watch?v=KcM3qs85L58,302.59,0.014628471120628877,-2891,-1765,-1146,-752,-522,-404,-240,-180,-85,26,71,172,285,371,547,783,1161,1775,2875,NA,NA
avwnoolTfDo,Minecraft! Meu mundo Ep 3,2014-03-07T18:49:59Z,Minha mansão!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,42,4,0,NA,https://www.youtube.com/watch?v=avwnoolTfDo,349.49,0.0213114136489188,-2931,-1804,-1166,-771,-531,-404,-240,-179,-87,27,72,171,288,376,554,799,1199,1802,2883,NA,NA
8tAL-w1F-Cw,Ghost Recon! o camper,2014-03-12T00:51:27Z,Apenas perdendo missões!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,27,3,0,0,https://www.youtube.com/watch?v=8tAL-w1F-Cw,594.22,-0.02039501068074011,-2853,-1624,-1089,-795,-613,-446,-325,-202,-119,15,83,217,310,453,584,791,1070,1622,2886,NA,NA
DzxBZjyubM4,GTA IV! o infernos!!!!!!,2014-03-16T18:14:42Z,Controle maldito!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,79,4,0,0,https://www.youtube.com/watch?v=DzxBZjyubM4,305.23,-0.00425113793223952,-3630,-2168,-1393,-907,-593,-395,-220,-171,-64,34,61,107,262,355,574,906,1406,2197,3657,NA,NA
rSQWfnJz7MQ,GTA IV! o grande pulo =O,2014-03-20T18:13:42Z,câmera e mãe malditas!!!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,43,4,0,0,https://www.youtube.com/watch?v=rSQWfnJz7MQ,308.16,0.0043262158186223604,-3539,-2095,-1318,-837,-526,-377,-214,-170,-70,34,65,114,267,341,546,832,1320,2104,3532,NA,NA
EUm94aSJjWk,GTA IV! o grande pulo Ep 2,2014-03-21T18:40:37Z,Apenas sendo gangster!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,36,3,0,NA,https://www.youtube.com/watch?v=EUm94aSJjWk,305.42,0.01629735766235354,-3545,-2092,-1337,-858,-529,-355,-204,-164,-53,38,63,98,244,332,545,847,1338,2120,3575,NA,NA
q-vx5hvpQ1Q,SAINT ROW! o BOSS maldito!,2014-03-25T19:59:33Z,Todos os meus carros!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,10,3,0,0,https://www.youtube.com/watch?v=q-vx5hvpQ1Q,409.34,-0.0314304716815197,-2847,-1610,-971,-662,-458,-354,-219,-167,-81,24,69,132,260,329,484,651,993,1618,2868,NA,NA
AXG-EHivpaE,GHOST RECON! perguntas importantes,2014-03-26T23:32:21Z,Mãe para de falar!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,12,3,0,0,https://www.youtube.com/watch?v=AXG-EHivpaE,587.47,-38.808230397206536,-2271,-1294,-802,-526,-364,-283,-185,-159,-82,-13,3,37,140,185,312,455,706,1213,2220,-13,-38.808262859064435
YymuqVS8-to,GTA IV! a violência domina o mundo de gta,2014-04-02T00:50:11Z,Apenas matando inocentes!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,50,3,0,0,https://www.youtube.com/watch?v=YymuqVS8-to,593.09,0.03814628548658321,-3398,-2015,-1243,-792,-517,-377,-220,-167,-76,30,68,123,263,344,537,797,1255,2022,3409,NA,NA
i1W7H0TKblM,GTA IV! o sniper pro,2014-04-04T18:23:41Z,Apenas derrubando helicópteros de sniper!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,24,3,0,NA,https://www.youtube.com/watch?v=i1W7H0TKblM,520.46,-0.040165602231854655,-2203,-1323,-870,-615,-439,-328,-213,-165,-77,21,64,118,243,312,431,581,844,1320,2243,NA,NA
9ZwZpCGPYy4,GTA IV! jogando com Tony,2014-04-05T12:30:57Z,Este foi meu primeiro video gravado!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,20,3,0,NA,https://www.youtube.com/watch?v=9ZwZpCGPYy4,293.26,0.017397129129497778,-3706,-2291,-1525,-1054,-734,-511,-360,-210,-114,18,93,231,346,527,750,1058,1534,2297,3695,NA,NA
gCyAokCAT6M,GTA IV! o APC!,2014-04-05T19:33:09Z,Easter eeg da estatua da liberdade?,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,21,4,0,0,https://www.youtube.com/watch?v=gCyAokCAT6M,307.7,0.034525130753364705,-3654,-2202,-1430,-956,-659,-442,-285,-185,-96,25,74,177,301,450,652,973,1458,2243,3673,NA,NA
Svdo50JAD20,GTA IV! finalmente!,2014-04-09T00:21:55Z,O maior easter egg do GTA IV!!!!!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,14,3,0,0,https://www.youtube.com/watch?v=Svdo50JAD20,292.75,-0.01006333859375854,-3206,-1847,-1114,-686,-445,-297,-196,-156,-45,37,62,94,218,311,468,708,1119,1856,3197,NA,NA
