id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url
puVeHZI1JaM,MINECRAFT! o ovo do dragão XD,2014-02-14T19:01:00Z,Eu sou muito burro!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,311,9,0,1,https://www.youtube.com/watch?v=puVeHZI1JaM
AdABr8uNKJQ,MINECRAFT A mansão!,2014-02-15T17:47:15Z,"Eu não vi parar de gravar, eu fiquei falando que nem retardado.",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,74,6,0,0,https://www.youtube.com/watch?v=AdABr8uNKJQ
gDe24qF92CI,GTA IV! participação especial!,2014-02-19T00:49:22Z,O mata tudo.,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,52,3,0,0,https://www.youtube.com/watch?v=gDe24qF92CI
T1iU05bZ5RQ,HAPPY WHEELS! dinossauros,2014-02-21T23:16:43Z,Muito noob!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,147,5,0,NA,https://www.youtube.com/watch?v=T1iU05bZ5RQ
hBL0yVT9y7k,Saint Row! a prova de meus poderes,2014-02-25T01:31:24Z,O super poderoso!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,30,3,0,0,https://www.youtube.com/watch?v=hBL0yVT9y7k
LX7LNA1zNEg,Minecraft! Meu mundo,2014-03-01T18:38:21Z,Muitas construções!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,42,4,0,1,https://www.youtube.com/watch?v=LX7LNA1zNEg
KcM3qs85L58,Minecraft! Meu mundo Ep 2,2014-03-04T15:41:58Z,Muitas trolagens!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,35,4,0,0,https://www.youtube.com/watch?v=KcM3qs85L58
avwnoolTfDo,Minecraft! Meu mundo Ep 3,2014-03-07T18:49:59Z,Minha mansão!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,42,4,0,NA,https://www.youtube.com/watch?v=avwnoolTfDo
8tAL-w1F-Cw,Ghost Recon! o camper,2014-03-12T00:51:27Z,Apenas perdendo missões!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,27,3,0,0,https://www.youtube.com/watch?v=8tAL-w1F-Cw
DzxBZjyubM4,GTA IV! o infernos!!!!!!,2014-03-16T18:14:42Z,Controle maldito!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,79,4,0,0,https://www.youtube.com/watch?v=DzxBZjyubM4
